epa_per_play,epa_per_pass,pass_td,air_epa_per_att,avg_depth_targ,yac_epa_per_att,epa_per_rush,rush_td,comp_perc,scramble_rate,int_rate,sack_rate,team,season,composite_score
-0.16,-0.26,8.0,0.31,7.24,-0.39,-0.12,4.0,65.54,5.4,2.3,9.5,DEN,2024,82.65693690801061
-0.14,-0.13,6.0,0.17,6.21,-0.16,-0.23,3.0,66.36,7.0,2.5,7.0,LAC,2024,81.47974568252339
-0.1,-0.19,6.0,0.48,7.69,-0.57,-0.15,6.0,66.67,5.6,3.5,6.5,DET,2024,74.28104961204919
-0.11,-0.17,5.0,0.52,8.54,-0.5,-0.08,6.0,61.78,5.7,2.8,7.6,CHI,2024,72.40410008636289
-0.11,-0.08,14.0,0.49,7.66,-0.44,-0.25,3.0,64.81,2.5,3.8,7.5,MIN,2024,69.14465023493234
-0.07,-0.07,9.0,0.31,6.34,-0.23,-0.15,5.0,66.3,4.2,2.7,6.5,BUF,2024,68.16519637047047
-0.08,-0.01,8.0,0.4,7.64,-0.27,-0.18,4.0,65.04,1.7,3.4,6.4,PIT,2024,67.65346156110415
-0.07,-0.02,9.0,0.45,7.39,-0.31,-0.2,4.0,64.32,7.6,2.1,5.7,KC,2024,62.53048199756142
-0.07,-0.08,12.0,0.48,8.51,-0.38,-0.14,7.0,63.71,6.4,3.6,7.0,GB,2024,60.070587400986426
-0.02,-0.08,10.0,0.47,8.0,-0.45,-0.04,10.0,62.16,3.1,3.6,6.9,SF,2024,57.76500658897765
-0.01,0.01,8.0,0.34,7.34,-0.19,-0.09,4.0,62.5,3.9,1.2,7.8,PHI,2024,57.48152607223781
-0.07,-0.18,16.0,0.73,10.45,-0.75,-0.09,4.0,53.28,6.6,3.0,9.3,HOU,2024,57.4311027016736
-0.03,-0.04,11.0,0.33,7.35,-0.25,-0.13,7.0,62.9,4.6,0.5,6.5,TEN,2024,57.15372844191967
-0.01,-0.09,7.0,0.35,7.63,-0.31,0.04,10.0,64.16,7.5,3.4,5.6,NO,2024,56.935373852608386
-0.02,0.05,5.0,0.31,7.58,-0.18,-0.11,10.0,62.9,4.9,1.5,4.4,MIA,2024,56.90721366253911
-0.01,-0.1,6.0,0.68,9.54,-0.61,-0.03,10.0,60.91,6.1,0.8,8.7,NYJ,2024,52.551096345366375
0.02,-0.03,9.0,0.28,6.48,-0.04,-0.03,6.0,71.37,6.1,0.4,12.5,NYG,2024,51.99305102383215
0.0,0.03,10.0,0.28,6.76,-0.12,-0.06,10.0,68.07,7.3,1.6,5.8,LV,2024,50.362136842368024
-0.02,0.07,11.0,0.42,8.26,-0.21,-0.16,7.0,68.9,5.6,1.5,5.6,IND,2024,49.19934177390675
0.02,0.02,12.0,0.36,6.26,-0.19,-0.02,9.0,68.55,5.2,1.8,7.3,SEA,2024,48.48574811306132
0.01,0.02,10.0,0.63,9.74,-0.47,-0.09,9.0,59.57,4.1,0.4,7.9,CLV,2024,44.965837135880506
0.05,0.09,13.0,0.35,6.84,-0.22,-0.05,5.0,73.58,8.1,2.6,2.0,ATL,2024,41.15344972417985
0.04,0.04,12.0,0.51,8.1,-0.29,-0.02,8.0,67.29,6.6,1.3,8.2,WAS,2024,40.750563118579315
0.06,0.06,15.0,0.33,7.46,-0.14,-0.06,8.0,67.46,6.0,1.6,6.3,TB,2024,39.015354741683936
0.07,0.06,12.0,0.45,8.39,-0.22,0.0,6.0,65.64,6.2,2.4,6.2,LA,2024,38.522114322985644
0.09,0.07,12.0,0.4,7.42,-0.27,0.06,11.0,65.41,7.3,2.1,4.0,CIN,2024,35.380265750686306
0.11,0.14,10.0,0.53,8.44,-0.29,-0.02,10.0,68.6,4.7,1.1,5.4,NE,2024,30.855237658665047
0.08,0.17,17.0,0.54,8.51,-0.21,-0.16,6.0,67.65,4.0,1.5,6.8,BAL,2024,30.77168247809521
0.12,0.18,11.0,0.35,6.91,-0.04,-0.03,9.0,71.95,7.7,1.9,5.3,ARZ,2024,30.568573411174743
0.12,0.13,9.0,0.42,8.86,-0.15,0.12,12.0,65.48,6.2,1.9,7.0,DAL,2024,28.990407425583914
0.16,0.27,17.0,0.33,6.95,0.04,-0.09,9.0,70.61,6.0,0.7,5.4,JAX,2024,19.456000560059866
0.15,0.22,17.0,0.55,7.86,-0.24,0.03,14.0,72.46,5.0,1.2,3.4,CAR,2024,15.862477533358886
