epa_per_play,epa_per_pass,pass_td,air_epa_per_att,avg_depth_targ,yac_epa_per_att,epa_per_rush,rush_td,comp_perc,scramble_rate,int_rate,sack_rate,team,season,composite_score
0.19,0.33,17.0,0.55,8.21,-0.1,0.04,11.0,67.66,9.3,0.85,4.4,BAL,2024,82.01202098183066
0.22,0.26,9.0,0.55,8.26,-0.17,0.05,14.0,71.98,13.4,0.86,6.2,WAS,2024,79.96211802906
0.18,0.27,14.0,0.54,8.51,-0.17,0.02,13.0,65.91,8.9,0.45,3.9,BUF,2024,78.34046389943937
0.12,0.17,15.0,0.25,6.82,0.11,0.07,13.0,75.26,2.7,2.06,8.2,DET,2024,66.20087730187
0.08,0.13,10.0,0.76,9.46,-0.51,-0.03,9.0,65.0,10.1,2.92,5.6,SF,2024,62.46313233523793
0.1,0.12,21.0,0.3,6.39,-0.04,0.01,6.0,71.13,6.1,3.17,6.1,TB,2024,62.387161997490814
0.08,0.15,15.0,0.4,7.14,-0.11,-0.12,7.0,71.15,4.1,1.15,6.4,CIN,2024,59.752475892643425
0.1,0.07,8.0,0.45,7.83,-0.16,0.07,12.0,69.84,6.7,2.12,8.4,PHI,2024,59.701552863890484
0.06,0.1,18.0,0.54,8.73,-0.38,-0.07,5.0,63.75,4.9,3.75,4.5,GB,2024,58.23495873064269
0.06,0.08,11.0,0.42,7.67,-0.24,-0.07,6.0,67.24,7.6,1.29,4.2,ARZ,2024,55.029004718374686
0.06,0.12,14.0,0.41,7.26,-0.17,-0.04,5.0,68.63,0.7,2.58,5.2,ATL,2024,54.99979921244883
0.02,0.05,14.0,0.58,9.22,-0.34,-0.12,4.0,68.82,5.8,2.69,9.8,MIN,2024,52.68344733459676
0.03,0.07,8.0,0.44,7.99,-0.17,-0.07,7.0,66.2,8.1,0.46,8.1,PIT,2024,51.74810283169662
0.02,-0.0,11.0,0.67,8.86,-0.53,0.01,7.0,62.7,3.6,1.59,6.4,JAX,2024,51.60336686881493
-0.01,-0.03,11.0,0.69,11.09,-0.63,-0.09,9.0,54.58,5.9,3.33,5.5,IND,2024,48.97141504195224
0.06,0.04,8.0,0.18,5.83,-0.06,-0.01,10.0,69.06,7.4,4.04,4.7,KC,2024,48.0052440216494
-0.02,0.06,11.0,0.39,7.36,-0.17,-0.17,8.0,67.03,5.3,1.45,7.2,HOU,2024,46.043482597898404
0.01,0.02,8.0,0.32,6.95,-0.18,-0.16,11.0,70.3,4.1,2.31,6.1,SEA,2024,45.29871174676559
-0.0,0.02,13.0,0.38,6.98,-0.27,-0.12,5.0,63.29,2.8,2.45,5.6,NYJ,2024,44.27476462801499
-0.02,0.04,8.0,0.43,7.86,-0.23,-0.12,4.0,65.82,3.6,0.51,8.1,LAC,2024,43.55510770776698
0.01,-0.03,6.0,0.41,7.36,-0.29,-0.04,8.0,67.38,0.0,1.72,6.8,LA,2024,42.951074903657016
-0.02,-0.07,9.0,0.43,8.15,-0.34,-0.11,9.0,63.64,6.8,2.27,8.3,CHI,2024,42.05257256099784
-0.08,-0.14,10.0,0.3,7.81,-0.29,-0.02,10.0,64.57,4.5,2.36,7.2,NO,2024,35.74763587611398
-0.08,-0.14,8.0,0.39,8.15,-0.47,-0.03,6.0,63.98,9.0,1.92,3.7,DEN,2024,35.542075807692115
-0.06,-0.09,9.0,0.49,8.12,-0.47,-0.08,3.0,63.87,1.3,3.28,6.0,DAL,2024,35.1173279129587
-0.09,-0.1,6.0,0.33,7.45,-0.29,-0.11,5.0,63.67,4.0,1.8,8.0,NYG,2024,30.4451698130518
-0.12,-0.19,7.0,0.34,7.1,-0.35,-0.16,6.0,62.03,7.5,1.27,9.2,NE,2024,26.025236068777826
-0.15,-0.18,9.0,0.3,7.59,-0.29,-0.14,3.0,62.63,5.9,1.73,10.5,CLV,2024,23.951147099332495
-0.16,-0.16,4.0,0.38,7.19,-0.39,-0.25,5.0,63.56,5.4,1.78,7.3,MIA,2024,20.825628884331717
-0.18,-0.27,9.0,0.42,7.25,-0.6,-0.08,5.0,63.26,4.7,4.17,5.4,CAR,2024,19.159984916490494
-0.19,-0.14,8.0,0.3,6.68,-0.25,-0.37,7.0,68.1,2.5,3.58,7.8,LV,2024,18.70205658688917
-0.17,-0.32,7.0,0.31,7.62,-0.47,-0.12,6.0,64.06,6.3,4.61,7.9,TEN,2024,17.07914322911953
