TEAM,OVR,OFF,PASS,RUN,RECV,PBLK,RBLK,DEF,RDEF,TACK,PRSH,COV
DET,92.2,80.1,65.6,89.3,81.2,69.8,68.6,84.6,72.4,61.7,83.9,82.5
BLT,90.5,86.2,87.8,91.7,81.8,74.9,66.1,73.5,84.4,77.8,71.5,61.5
SF,88.8,83.7,76.9,80.7,80.3,70.9,77.5,75.3,55.5,48.0,72.7,88.7
PIT,84.3,71.9,66.6,78.7,72.7,58.5,64.5,80.3,80.0,74.1,86.2,65.7
ATL,83.8,81.7,75.0,91.6,78.3,64.4,70.8,66.7,66.4,44.4,53.7,74.4
KC,83.6,77.0,74.4,79.2,70.3,71.5,74.2,76.2,76.0,65.6,78.8,66.5
PHI,83.3,75.0,60.5,85.3,75.6,70.1,64.7,77.5,64.8,62.6,82.8,76.0
HST,82.7,76.0,77.9,75.7,79.3,66.1,59.8,69.0,63.1,47.4,67.3,71.1
MIN,81.3,77.2,73.3,77.0,75.5,70.0,74.3,70.1,82.2,59.1,61.3,63.7
DEN,80.4,67.3,64.6,69.7,61.0,79.6,63.5,79.8,71.4,57.8,74.8,83.1
SEA,78.5,74.4,77.1,85.5,74.1,58.9,61.1,65.0,58.1,54.8,66.6,65.9
TB,77.8,78.0,74.7,85.2,73.3,79.1,67.0,61.9,51.9,34.0,68.1,64.6
LAC,77.6,70.8,78.9,62.6,70.0,63.9,64.5,70.5,68.4,41.8,65.4,72.5
IND,77.5,72.7,58.5,64.2,70.0,81.3,79.1,69.6,68.1,57.0,64.8,69.8
WAS,77.0,78.0,85.3,82.2,74.8,72.3,58.6,58.8,56.9,52.4,64.2,54.1
ARZ,76.9,78.3,78.6,83.3,73.0,76.7,63.4,57.9,63.6,58.5,55.5,53.1
CHI,76.2,67.6,59.0,69.2,66.6,72.4,68.5,76.4,70.1,71.1,71.1,76.3
JAX,75.4,71.9,72.4,83.9,68.6,66.6,59.7,64.8,69.5,47.8,67.0,55.1
CIN,74.6,73.1,88.3,68.5,72.6,62.9,48.3,64.6,70.6,51.0,57.4,59.1
BUF,74.5,73.1,67.2,90.0,70.6,71.2,63.1,64.7,60.5,59.4,75.4,54.2
NYJ,73.7,72.8,76.3,72.5,68.8,69.4,65.8,66.0,51.4,43.6,65.3,80.9
GB,73.6,72.8,70.3,90.5,70.0,81.0,52.2,65.8,58.9,47.8,64.4,72.9
CLV,70.8,61.0,64.7,71.7,63.0,52.9,52.6,74.1,84.9,29.8,78.1,51.3
LAR,69.5,68.9,61.3,71.9,77.3,43.4,62.7,62.5,64.4,50.4,68.0,51.2
NYG,68.6,63.8,59.2,70.5,64.6,68.9,54.1,71.0,64.6,46.3,75.2,63.7
NO,67.3,70.2,73.7,79.1,68.4,43.1,67.4,55.2,44.9,51.7,60.8,58.7
MIA,66.6,65.7,56.3,79.6,59.9,69.9,68.8,62.3,65.5,36.7,64.9,54.0
DAL,65.6,64.6,63.2,61.5,67.3,54.0,62.0,53.2,43.6,38.5,69.3,54.0
LV,65.4,65.7,55.1,54.2,74.6,71.0,52.3,58.5,75.0,29.7,64.0,36.4
NE,62.8,58.0,59.6,72.0,60.3,48.2,49.4,61.6,50.1,59.9,67.4,65.5
TEN,59.9,58.6,44.8,78.3,63.4,56.9,52.9,61.0,62.0,55.1,59.4,59.2
CAR,59.8,64.2,56.8,74.7,59.6,72.0,64.7,51.4,48.0,60.9,47.1,61.5
