TEAM,OVR,OFF,PASS,RUN,RECV,PBLK,RBLK,DEF,RDEF,TACK,PRSH,COV
DET,134,92.2,80.1,68.6,89.3,65.6,84.6,72.4,72.4,61.7,83.9,82.5
BLT,209,90.5,86.2,66.1,91.7,87.8,73.5,84.4,84.4,77.8,71.5,61.5
SF,182,88.8,83.7,77.5,80.7,76.9,75.3,55.5,55.5,48.0,72.7,88.7
PIT,101,84.3,71.9,64.5,78.7,66.6,80.3,80.0,80.0,74.1,86.2,65.7
ATL,195,83.8,81.7,70.8,91.6,75.0,66.7,66.4,66.4,44.4,53.7,74.4
KC,123,83.6,77.0,74.2,79.2,74.4,76.2,76.0,76.0,65.6,78.8,66.5
PHI,132,83.3,75.0,64.7,85.3,60.5,77.5,64.8,64.8,62.6,82.8,76.0
HST,179,82.7,76.0,59.8,75.7,77.9,69.0,63.1,63.1,47.4,67.3,71.1
MIN,137,81.3,77.2,74.3,77.0,73.3,70.1,82.2,82.2,59.1,61.3,63.7
DEN,120,80.4,67.3,63.5,69.7,64.6,79.8,71.4,71.4,57.8,74.8,83.1
SEA,195,78.5,74.4,61.1,85.5,77.1,65.0,58.1,58.1,54.8,66.6,65.9
TB,213,77.8,78.0,67.0,85.2,74.7,61.9,51.9,51.9,34.0,68.1,64.6
LAC,91,77.6,70.8,64.5,62.6,78.9,70.5,68.4,68.4,41.8,65.4,72.5
IND,172,77.5,72.7,79.1,64.2,58.5,69.6,68.1,68.1,57.0,64.8,69.8
WAS,167,77.0,78.0,58.6,82.2,85.3,58.8,56.9,56.9,52.4,64.2,54.1
ARZ,205,76.9,78.3,63.4,83.3,78.6,57.9,63.6,63.6,58.5,55.5,53.1
CHI,119,76.2,67.6,68.5,69.2,59.0,76.4,70.1,70.1,71.1,71.1,76.3
JAX,224,75.4,71.9,59.7,83.9,72.4,64.8,69.5,69.5,47.8,67.0,55.1
CIN,203,74.6,73.1,48.3,68.5,88.3,64.6,70.6,70.6,51.0,57.4,59.1
BUF,146,74.5,73.1,63.1,90.0,67.2,64.7,60.5,60.5,59.4,75.4,54.2
NYJ,170,73.7,72.8,65.8,72.5,76.3,66.0,51.4,51.4,43.6,65.3,80.9
GB,170,73.6,72.8,52.2,90.5,70.3,65.8,58.9,58.9,47.8,64.4,72.9
CLV,186,70.8,61.0,52.6,71.7,64.7,74.1,84.9,84.9,29.8,78.1,51.3
LAR,174,69.5,68.9,62.7,71.9,61.3,62.5,64.4,64.4,50.4,68.0,51.2
NYG,149,68.6,63.8,54.1,70.5,59.2,71.0,64.6,64.6,46.3,75.2,63.7
NO,206,67.3,70.2,67.4,79.1,73.7,55.2,44.9,44.9,51.7,60.8,58.7
MIA,157,66.6,65.7,68.8,79.6,56.3,62.3,65.5,65.5,36.7,64.9,54.0
DAL,198,65.6,64.6,62.0,61.5,63.2,53.2,43.6,43.6,38.5,69.3,54.0
LV,210,65.4,65.7,52.3,54.2,55.1,58.5,75.0,75.0,29.7,64.0,36.4
NE,197,62.8,58.0,49.4,72.0,59.6,61.6,50.1,50.1,59.9,67.4,65.5
TEN,196,59.9,58.6,52.9,78.3,44.8,61.0,62.0,62.0,55.1,59.4,59.2
CAR,271,59.8,64.2,64.7,74.7,56.8,51.4,48.0,48.0,60.9,47.1,61.5
