week,ATS Win %,ML Win %,Weekly Risk,ATS Payout,ML Payout,Weekly Profit,Season ATS Winning %,Season ML Winning %,Season Risk,Season Profit
WEEK1,0.25,0.50,400,-210.00,-82.00,-292.00,0.52,0.83,6200,783.00
WEEK2,0.50,1.00,200,-10.00,72.00,62.00,0.52,0.83,6200,783.00
WEEK3,0.40,0.60,500,-120.00,-30.00,-150.00,0.52,0.83,6200,783.00
WEEK4,0.67,1.00,300,80.00,191.00,271.00,0.52,0.83,6200,783.00
WEEK5,0.33,1.00,300,-110.00,91.00,-19.00,0.52,0.83,6200,783.00
WEEK6,1.00,1.00,100,90.00,83.00,173.00,0.52,0.83,6200,783.00
WEEK7,0.00,0.00,200,-200.00,-200.00,-400.00,0.52,0.83,6200,783.00
WEEK8,1.00,1.00,200,180.00,38.00,218.00,0.52,0.83,6200,783.00
WEEK9,0.25,1.00,400,-210.00,154.00,-56.00,0.52,0.83,6200,783.00
WEEK10,0.40,0.60,500,-120.00,-11.00,-131.00,0.52,0.83,6200,783.00
WEEK11,0.33,1.00,300,-110.00,220.00,110.00,0.52,0.83,6200,783.00
WEEK12,0.80,1.00,500,260.00,173.00,433.00,0.52,0.83,6200,783.00
WEEK13,1.00,1.00,400,360.00,181.00,541.00,0.52,0.83,6200,783.00
WEEK14,0.50,0.75,400,-20.00,5.00,-15.00,0.52,0.83,6200,783.00
WEEK15,0.50,1.00,400,-20.00,188.00,168.00,0.52,0.83,6200,783.00
WEEK16,0.75,1.00,400,170.00,121.00,291.00,0.52,0.83,6200,783.00
WEEK17,0.00,0.50,400,-400.00,-167.00,-567.00,0.52,0.83,6200,783.00
WEEK18,0.67,1.00,300,80.00,66.00,146.00,0.52,0.83,6200,783.00
