TEAM,OVR,OFF,PASS,RUN,DEF,RDEF,PRSH,COV,TACK,PBLK,RBLK,RECV,WINS,LOSSES,TIES,PTS_SCORED,PTS_ALLOWED
ARZ,84.9,81.0,77.9,90.2,64.8,64.7,59.0,66.1,43.9,75.8,66.6,78.3,8,9,0,400,379
ATL,92.0,88.3,77.7,93.2,68.0,66.6,59.0,75.7,33.3,72.8,82.8,82.1,8,9,0,389,423
BLT,93.1,90.4,92.5,93.6,75.7,75.6,70.6,77.2,64.1,73.3,63.9,88.5,12,5,0,518,361
BUF,81.8,79.7,79.9,92.7,63.1,57.9,76.3,48.3,53.9,74.7,64.5,73.4,13,4,0,525,368
CAR,62.5,72.2,74.2,81.8,44.7,37.5,51.9,50.1,43.3,69.4,73.1,63.2,5,12,0,341,534
CHI,76.7,69.1,62.9,73.9,70.9,64.6,69.0,74.4,67.3,72.8,65.6,67.8,5,12,0,310,370
CIN,83.6,78.6,92.9,72.4,66.0,66.1,64.2,61.4,43.3,56.2,50.7,80.3,9,8,0,472,434
CLV,70.5,62.1,59.8,74.8,74.5,81.3,81.0,49.5,28.5,59.5,50.2,65.3,3,14,0,258,435
DAL,72.7,66.5,64.1,60.7,62.9,48.0,79.1,62.1,43.9,62.1,63.7,69.4,7,10,0,350,468
DEN,87.0,74.0,73.3,70.7,77.9,71.7,77.0,80.3,64.7,83.6,67.7,68.2,10,7,0,425,311
DET,93.8,88.3,80.8,90.2,77.7,71.4,74.6,80.7,74.3,68.4,78.4,89.3,15,2,0,564,342
GB,84.5,79.7,76.1,91.6,71.0,61.9,68.8,81.6,70.0,82.1,62.2,75.3,11,6,0,460,338
HST,83.6,75.2,77.1,81.7,71.4,65.9,72.0,73.2,40.1,66.8,57.1,77.6,10,7,0,372,372
IND,83.2,74.3,65.1,65.4,74.2,75.8,67.9,71.0,42.7,72.5,76.9,73.8,8,9,0,377,427
JAX,74.7,70.4,69.8,77.0,63.1,64.1,65.1,55.4,59.4,66.7,57.2,71.0,4,13,0,320,435
KC,89.0,77.9,77.1,81.7,79.5,72.2,74.2,84.8,71.9,70.7,73.6,73.4,15,2,0,385,326
MIA,74.9,69.4,65.5,80.5,67.8,73.7,67.7,55.6,28.5,66.1,56.0,72.7,8,9,0,345,364
MIN,86.2,79.6,80.6,77.1,71.4,75.4,64.8,67.0,67.9,69.3,65.9,82.8,14,3,0,432,332
NE,68.3,63.2,68.2,80.3,64.4,58.2,62.1,68.8,75.4,52.2,45.6,66.8,4,13,0,289,417
NO,70.3,71.0,68.9,84.7,57.5,48.0,65.6,56.5,38.4,51.6,67.8,70.2,5,12,0,338,398
NYG,68.6,64.4,58.5,75.0,66.9,64.1,76.3,52.9,48.9,57.6,59.7,67.1,3,14,0,273,415
NYJ,76.2,74.6,77.5,78.4,64.0,58.6,66.5,69.8,42.5,68.9,67.4,71.1,5,12,0,338,404
LV,69.4,69.4,57.9,56.5,57.2,69.9,64.1,32.0,40.2,69.9,63.5,75.8,4,13,0,309,434
PHI,93.3,80.3,67.9,88.4,90.5,76.3,86.7,92.8,52.0,73.9,75.2,77.7,14,3,0,463,303
PIT,87.1,74.3,74.2,81.8,79.0,73.1,90.6,58.6,67.9,60.8,68.4,73.0,10,7,0,380,347
LA,84.6,79.7,73.2,76.0,67.6,68.5,73.4,57.2,41.9,54.2,76.8,83.6,10,7,0,367,386
LAC,90.2,78.7,90.9,69.3,76.6,74.6,68.8,83.3,53.1,73.2,63.4,74.3,11,6,0,402,301
SF,86.2,82.3,73.1,82.0,68.3,54.6,68.3,83.1,48.8,72.0,80.0,81.4,6,11,0,389,436
SEA,85.5,76.8,79.7,90.4,69.8,65.5,70.3,70.3,63.9,60.1,58.6,79.0,10,7,0,375,368
TB,86.3,82.2,82.4,90.6,65.9,64.3,67.3,63.9,43.0,82.5,65.7,78.2,10,7,0,502,385
TEN,66.9,62.4,57.0,72.7,67.4,72.4,62.1,61.3,56.6,60.1,46.6,70.8,3,14,0,311,460
WAS,78.2,77.7,87.0,90.1,59.5,54.2,69.3,53.5,53.9,64.1,57.8,74.7,12,5,0,485,391
