Game Date,Home Score,Away Score,Home Odds Close,Away Odds Close,Home Line Close,Away Line Close,Home Team,Away Team
WEEK18,16.00,20.00,1.43,2.95,-4.00,4.00,GB,DET
WEEK18,30.00,17.00,1.38,3.15,-6.00,6.00,ATL,TB
WEEK18,35.00,23.00,1.26,4.00,-8.00,8.00,BUF,NE
WEEK18,13.00,29.00,3.30,1.36,6.50,-6.50,CHI,MIN
WEEK18,27.00,16.00,1.14,6.00,-11.00,11.00,CIN,BLT
WEEK18,31.00,28.00,1.36,3.30,-6.50,6.50,DEN,LAC
WEEK18,31.00,32.00,1.65,2.35,-3.00,3.00,IND,HST
WEEK18,20.00,16.00,1.36,3.30,-6.50,6.50,JAX,TEN
WEEK18,11.00,6.00,1.54,2.65,-3.50,3.50,MIA,NYJ
WEEK18,7.00,10.00,1.56,2.60,-3.50,3.50,NO,CAR
WEEK18,22.00,16.00,1.06,10.50,-17.00,17.00,PHI,NYG
WEEK18,28.00,14.00,1.69,2.25,-2.50,2.50,PIT,CLV
WEEK18,19.00,16.00,1.45,2.80,-4.50,4.50,SEA,LAR
WEEK18,38.00,13.00,1.08,8.50,-14.50,14.50,SF,ARZ
WEEK18,26.00,6.00,3.75,1.29,7.50,-7.50,WAS,DAL
WEEK18,13.00,31.00,4.25,1.24,8.50,-8.50,LV,KC
WEEK17,13.00,16.00,1.87,1.95,-1.00,1.00,BLT,PIT
WEEK17,41.00,17.00,1.54,2.65,-3.50,3.50,GB,MIN
WEEK17,31.00,10.00,1.36,3.25,-6.50,6.50,LAC,LAR
WEEK17,34.00,37.00,4.75,1.20,10.00,-10.00,LV,SF
WEEK17,23.00,6.00,2.05,1.80,1.50,-1.50,SEA,NYJ
WEEK17,20.00,19.00,1.34,3.35,-6.50,6.50,ATL,ARZ
WEEK17,41.00,10.00,1.45,2.80,-4.50,4.50,DET,CHI
WEEK17,3.00,31.00,2.65,1.54,3.50,-3.50,HST,JAX
WEEK17,27.00,24.00,1.13,6.50,-12.50,12.50,KC,DEN
WEEK17,23.00,21.00,1.61,2.45,-3.00,3.00,NE,MIA
WEEK17,38.00,10.00,1.41,3.05,-5.50,5.50,NYG,IND
WEEK17,10.00,20.00,1.43,2.90,-5.00,5.00,PHI,NO
WEEK17,30.00,24.00,1.54,2.65,-3.50,3.50,TB,CAR
WEEK17,10.00,24.00,1.77,2.10,-2.00,2.00,WAS,CLV
